ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
1.0,'01',1.0,'01',1,1,TS
2.0,'01',1.0,'01',1,1,TS
3.0,'10',1.0,'10',1,1,TS
4.0,'10',1.0,'10',1,1,TS
5.0,'01',1.0,'01',1,1,TS
6.0,'01',0.5865865865865866,'01 10',2,1,TS
6.0,'10',0.4134134134134134,'01 10',2,1,TS
7.0,'10',1.0,'10',1,1,TS
8.0,'10',1.0,'10',1,1,TS
9.0,'01',1.0,'01',1,1,TS
10.0,'10',1.0,'10',1,1,TS
11.0,'01',1.0,'01',1,1,TS
12.0,'10',1.0,'10',1,1,TS
13.0,'10',1.0,'10',1,1,TS
14.0,'01',0.108,'01 10',2,1,TS
14.0,'10',0.892,'01 10',2,1,TS
15.0,'01',1.0,'01',1,1,TS
16.0,'01',0.415,'01 10',2,1,TS
16.0,'10',0.585,'01 10',2,1,TS
17.0,'01',1.0,'01',1,1,TS
18.0,'01',1.0,'01',1,1,TS
19.0,'01',0.177,'01 10',2,1,TS
19.0,'10',0.823,'01 10',2,1,TS
20.0,'01',0.566,'01 10',2,1,TS
20.0,'10',0.434,'01 10',2,1,TS
21.0,'01',1.0,'01',1,1,TS
22.0,'01',1.0,'01',1,1,TS
23.0,'10',1.0,'10',1,1,TS
24.0,'10',1.0,'10',1,1,TS
25.0,'10',1.0,'10',1,1,TS
26.0,'10',1.0,'10',1,1,TS
27.0,'01',0.38,'01 10',2,1,TS
27.0,'10',0.62,'01 10',2,1,TS
28.0,'01',1.0,'01',1,1,TS
29.0,'10',1.0,'10',1,1,TS
30.0,'11',1.0,'11',1,1,TS
31.0,'10',1.0,'10',1,1,TS
32.0,'11',1.0,'11',1,1,TS
33.0,'10',1.0,'10',1,1,TS
34.0,'01',1.0,'01',1,1,TS
35.0,'01',0.542,'01 10',2,1,TS
35.0,'10',0.458,'01 10',2,1,TS
36.0,'01',0.559,'01 10',2,1,TS
36.0,'10',0.441,'01 10',2,1,TS
37.0,'01',1.0,'01',1,1,TS
38.0,'01',1.0,'01',1,1,TS
39.0,'10',1.0,'10',1,1,TS
40.0,'10',1.0,'10',1,1,TS
41.0,'01',0.864,'01 10',2,1,TS
41.0,'10',0.136,'01 10',2,1,TS
42.0,'01',1.0,'01',1,1,TS
43.0,'01',0.633,'01 10',2,1,TS
43.0,'10',0.367,'01 10',2,1,TS
44.0,'11',1.0,'11',1,1,TS
45.0,'10',1.0,'10',1,1,TS
46.0,'01',0.875,'01 10',2,1,TS
46.0,'10',0.125,'01 10',2,1,TS
47.0,'01',0.989,'01 10',2,1,TS
47.0,'10',0.011,'01 10',2,1,TS
48.0,'01',1.0,'01',1,1,TS
49.0,'01',1.0,'01',1,1,TS
50.0,'01',1.0,'01',1,1,TS
51.0,'10',1.0,'10',1,1,TS
52.0,'01',0.74,'01 10',2,1,TS
52.0,'10',0.26,'01 10',2,1,TS
53.0,'10',1.0,'10',1,1,TS
54.0,'01',0.097,'01 10',2,1,TS
54.0,'10',0.903,'01 10',2,1,TS
55.0,'01',1.0,'01',1,1,TS
56.0,'01',0.561,'01 10',2,1,TS
56.0,'10',0.439,'01 10',2,1,TS
57.0,'10',1.0,'10',1,1,TS
58.0,'01',1.0,'01',1,1,TS
59.0,'01',0.367,'01 10',2,1,TS
59.0,'10',0.633,'01 10',2,1,TS
60.0,'01',0.821,'01 10',2,1,TS
60.0,'10',0.179,'01 10',2,1,TS
61.0,'01',1.0,'01',1,1,TS
62.0,'01',1.0,'01',1,1,TS
63.0,'01',0.838,'01 10',2,1,TS
63.0,'10',0.162,'01 10',2,1,TS
64.0,'01',0.467,'01 10',2,1,TS
64.0,'10',0.533,'01 10',2,1,TS
65.0,'01',0.452,'01 10',2,1,TS
65.0,'10',0.548,'01 10',2,1,TS
66.0,'01',0.223,'01 10',2,1,TS
66.0,'10',0.777,'01 10',2,1,TS
67.0,'01',0.889,'01 10',2,1,TS
67.0,'10',0.111,'01 10',2,1,TS
68.0,'01',1.0,'01',1,1,TS
69.0,'01',1.0,'01',1,1,TS
70.0,'01',0.219,'01 10',2,1,TS
70.0,'10',0.781,'01 10',2,1,TS
71.0,'01',1.0,'01',1,1,TS
72.0,'01',0.081,'01 10',2,1,TS
72.0,'10',0.919,'01 10',2,1,TS
73.0,'01',1.0,'01',1,1,TS
74.0,'01',0.218,'01 10',2,1,TS
74.0,'10',0.782,'01 10',2,1,TS
75.0,'10',1.0,'10',1,1,TS
76.0,'01',1.0,'01',1,1,TS
77.0,'10',1.0,'10',1,1,TS
78.0,'01',0.89,'01 10',2,1,TS
78.0,'10',0.11,'01 10',2,1,TS
79.0,'10',1.0,'10',1,1,TS
80.0,'01',1.0,'01',1,1,TS
81.0,'10',1.0,'10',1,1,TS
82.0,'01',1.0,'01',1,1,TS
83.0,'01',0.159,'01 10',2,1,TS
83.0,'10',0.841,'01 10',2,1,TS
84.0,'10',1.0,'10',1,1,TS
85.0,'10',1.0,'10',1,1,TS
86.0,'01',0.146,'01 10',2,1,TS
86.0,'10',0.854,'01 10',2,1,TS
87.0,'01',1.0,'01',1,1,TS
88.0,'10',1.0,'10',1,1,TS
89.0,'10',1.0,'10',1,1,TS
90.0,'10',1.0,'10',1,1,TS
91.0,'10',1.0,'10',1,1,TS
92.0,'01',1.0,'01',1,1,TS
93.0,'01',0.653,'01 10',2,1,TS
93.0,'10',0.347,'01 10',2,1,TS
94.0,'01',0.152,'01 10',2,1,TS
94.0,'10',0.848,'01 10',2,1,TS
95.0,'01',0.703,'01 10',2,1,TS
95.0,'10',0.297,'01 10',2,1,TS
96.0,'01',0.481,'01 10',2,1,TS
96.0,'10',0.519,'01 10',2,1,TS
97.0,'01',0.527,'01 10',2,1,TS
97.0,'10',0.473,'01 10',2,1,TS
98.0,'10',1.0,'10',1,1,TS
99.0,'10',1.0,'10',1,1,TS
100.0,'01',0.173,'01 10',2,1,TS
100.0,'10',0.827,'01 10',2,1,TS
101.0,'10',1.0,'10',1,1,TS
102.0,'01',1.0,'01',1,1,TS
103.0,'01',1.0,'01',1,1,TS
104.0,'01',0.217,'01 10',2,1,TS
104.0,'10',0.783,'01 10',2,1,TS
105.0,'10',1.0,'10',1,1,TS
106.0,'00',1.0,'00',1,1,TS
107.0,'01',0.591,'01 10',2,1,TS
107.0,'10',0.409,'01 10',2,1,TS
108.0,'10',1.0,'10',1,1,TS
109.0,'01',0.594,'01 10',2,1,TS
109.0,'10',0.406,'01 10',2,1,TS
110.0,'01',1.0,'01',1,1,TS
111.0,'01',1.0,'01',1,1,TS
112.0,'01',1.0,'01',1,1,TS
113.0,'00',1.0,'00',1,1,TS
114.0,'01',0.631,'01 10',2,1,TS
