Parameter	Minimum	Maximum	Sampling
Prod_A	1.0	100.0	Sobol
Prod_B	1.0	100.0	Sobol
Deg_A	0.1	1.0	Sobol
Deg_B	0.1	1.0	Sobol
ActFld_A_A	1.0	100.0	Sobol
Thr_A_A	0.15501301630900788	15.34628861459178	Sobol
Hill_A_A	1.0	6.0	Sobol
InhFld_B_A	0.01	1.0	Sobol
Thr_B_A	0.16417865752112681	16.253687094591555	Sobol
Hill_B_A	1.0	6.0	Sobol
InhFld_A_B	0.01	1.0	Sobol
Thr_A_B	0.15501301630900788	15.34628861459178	Sobol
Hill_A_B	1.0	6.0	Sobol
ActFld_B_B	1.0	100.0	Sobol
Thr_B_B	0.16417865752112681	16.253687094591555	Sobol
Hill_B_B	1.0	6.0	Sobol
