ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
1.0,'01',0.953,'01 10',2,1,TSSA
1.0,'10',0.047,'01 10',2,1,TSSA
2.0,'01',0.135,'01 10',2,1,TSSA
2.0,'10',0.865,'01 10',2,1,TSSA
3.0,'01',0.353,'01 10',2,1,TSSA
3.0,'10',0.647,'01 10',2,1,TSSA
4.0,'01',0.005,'01 10',2,1,TSSA
4.0,'10',0.995,'01 10',2,1,TSSA
5.0,'01',1.0,'01',1,1,TSSA
6.0,'01',1.0,'01',1,1,TSSA
7.0,'01',1.0,'01',1,1,TSSA
8.0,'00',0.002,'00 01 10',3,1,TSSA
8.0,'01',0.477,'00 01 10',3,1,TSSA
8.0,'10',0.521,'00 01 10',3,1,TSSA
9.0,'01',1.0,'01',1,1,TSSA
10.0,'01',0.908,'01 10',2,1,TSSA
10.0,'10',0.092,'01 10',2,1,TSSA
11.0,'01',0.983,'01 10',2,1,TSSA
11.0,'10',0.017,'01 10',2,1,TSSA
12.0,'01',0.975,'01 10',2,1,TSSA
12.0,'10',0.025,'01 10',2,1,TSSA
13.0,'00',0.218,'00 01 10',3,1,TSSA
13.0,'01',0.6,'00 01 10',3,1,TSSA
13.0,'10',0.182,'00 01 10',3,1,TSSA
14.0,'01',0.93,'01 10',2,1,TSSA
14.0,'10',0.07,'01 10',2,1,TSSA
15.0,'01',0.945,'01 10',2,1,TSSA
15.0,'10',0.055,'01 10',2,1,TSSA
16.0,'01',0.147,'01 10',2,1,TSSA
16.0,'10',0.853,'01 10',2,1,TSSA
17.0,'01',0.255,'01 10',2,1,TSSA
17.0,'10',0.745,'01 10',2,1,TSSA
18.0,'01',0.048,'01 10',2,1,TSSA
18.0,'10',0.952,'01 10',2,1,TSSA
19.0,'01',0.1931931931931932,'01 10',2,1,TSSA
19.0,'10',0.8068068068068068,'01 10',2,1,TSSA
20.0,'10',1.0,'10',1,1,TSSA
21.0,'01',1.0,'01',1,1,TSSA
