State	Count
'0111001111100000001101'	153925
'0111011111100000001101'	148970
'0000000000000111111111'	117068
'0111001111110000001101'	87027
'0111011111110000001101'	78721
'1000000000000111111111'	71416
'0011001101100000001101'	24399
'0111001101100000001101'	21211
'0111001011100000001101'	20279
'0111011011100000001101'	19336
'0011001111100000001101'	18513
'0011011101100000001101'	16576
'0011011111100000001101'	16368
'0111011111111000001101'	13564
'0011000101000000001101'	12691
'0111011101100000001101'	12575
'0111011111101000001101'	8610
'0111011011110000001101'	6331
'0111001011110000001101'	6094
'0011001101000000001101'	5378
'0111001111111000001101'	4873
'0001000000000111111111'	4236
'0011001111110000001101'	4167
'0110001111100000001101'	3912
'0011000101100000001101'	3801
'0110011111100000001101'	3136
'0111001111101000001101'	3117
'0111001001100000001101'	3078
'0011011001100000001101'	3075
'0111001101110000001101'	3038
'0011001011100000001101'	2851
'0000001000000111111111'	2717
'0011001001100000001101'	2446
'0011001101110000001101'	2330
'0111011101110000001101'	2284
'0111001011100010001101'	2042
'0111001111000000001101'	2009
'0111011011100010001101'	1911
'0111001100000000001101'	1836
'0111001011000000001101'	1834
'0111011001100000001101'	1812
'0011011011100000001101'	1781
'0111001110100000001101'	1766
'0011011111110000001101'	1740
'0011000001000000001101'	1644
'0011001111000000001101'	1606
'0111001101000000001101'	1579
'0111011011111000001101'	1530
'0011000100000000001101'	1482
'0011011101110000001101'	1478
'0011001001000000001101'	1460
'0010000000000111111111'	1373
'0010000101000000001101'	1341
'0011010101000000001101'	1312
'0011000111100000001101'	1199
'0110011111110000001101'	1195
'0011000111000000001101'	1067
'0011010101100000001101'	1064
'0111001100100000001101'	946
'0011011101000000001101'	940
'0111000101000000001101'	927
'0010001101000000001101'	881
'0111011011101000001101'	877
'1010000000000111111111'	876
'0010000100000100001101'	865
'0011001100000000001101'	841
'0001001001000000001101'	769
'0010001100000100001101'	747
'0111011110110000001101'	710
'0010000100000000001101'	693
'0110011011100000001101'	684
'0111000100000000001101'	665
'0010001100000000001101'	649
'0010000000000100001101'	634
'0111000111100000001101'	628
'0011011111101000001101'	626
'0111001111100010001101'	604
'0111111111110000001101'	598
'0111011110100000001101'	588
'0001001001000011011101'	587
'0111001001000000001101'	564
'0010001111100000001101'	561
'0110001111110000001101'	552
'0111011011000000001101'	550
'0010001111000000001101'	548
'0111011101111000001101'	548
'0111000101100000001101'	542
'0111001000000000001101'	541
'0110001101100000001101'	534
'0011000000000000001101'	532
'0111001110000000001101'	518
'0111011101101000001101'	494
'0011010111000000001101'	494
'0110001100000000001101'	490
'0011011001000000001101'	441
'0111001000100000001101'	432
'0111111111100000001101'	428
'0111001001110000001101'	412
'0010001101100000001101'	410
'0111001110110000001101'	404
'0011011111111000001101'	398
'0111101111100000001101'	385
'0011001011000000001101'	380
'0011001001000010001101'	375
'0010011101100000001101'	370
'0001000001000011011101'	362
'0011001000000000001101'	359
'0011000001000010001101'	359
'0111011100100000001101'	327
'0111001011101000001101'	316
'0111011001110000001101'	313
'0010000000000110001111'	310
'0011011111000000001101'	303
'0001000001000010001101'	298
'0011001100100000001101'	297
'0110011111111000001101'	297
'0110001011100000001101'	295
'0011011101101000001101'	295
'0111001101101000001101'	290
'0010001110000000001101'	286
'0010011111100000001101'	282
'0010001011100000001101'	280
'0011001001110000001101'	278
'0110001101000000001101'	271
'0011001011100010001101'	263
'0110011101100000001101'	261
'0111011111000000001101'	258
'0111000111110000001101'	253
'0001000001000000001101'	248
'0011001111101000001101'	239
'0111000111000000001101'	233
'0111101111110000001101'	232
'0011001111010000001101'	229
'0011000001100000001101'	216
'0011000011000000001101'	214
'0110001111000000001101'	213
'0001001001100000001101'	213
'0111011010100000001101'	212
'0111001011000010001101'	210
'0110000100000000001101'	208
'0011001001100010001101'	207
'0111011111100010001101'	200
'0011011011100010001101'	198
'0011001011110000001101'	198
'0111001111010000001101'	197
'0011011011110000001101'	196
'0111001100110000001101'	194
'0011000111010000001101'	194
'0111001110101000001101'	193
'0111001001100010001101'	193
'0111010111010000001101'	193
'0111001101111000001101'	192
'0111011111010000001101'	191
'0010000101100000001101'	191
'0011011110100000001101'	189
'0010000111000000001101'	189
'0011011001101000001101'	178
'0011000000000010001101'	178
'0010000000000000001101'	174
'0010001001000000001101'	171
'0010000001000000001101'	171
'0110011111101000001101'	168
'0011011101010000001101'	161
'0111001010000000001101'	160
'0001011011100000001101'	155
'0011000100100000001101'	150
'0001001001000011111101'	149
'0110001100000100001101'	147
'0111000011100000001101'	146
'0010001101000100001101'	145
'0001001000000011011101'	140
'0111011001000000001101'	138
'0001001000000111111111'	132
'1001000000000111111111'	129
'0111011111nan00000001101'	127
'1000001000000111111111'	121
'0010001000000100001101'	120
'0111010001000010001101'	118
'0011011001100010001101'	117
'0110001010000000001101'	115
'0110001001000000001101'	113
'0111001011111000001101'	112
'0011001010100000001101'	112
